0	4	0	0	スライム	3	0	5
1	4	0	1	スライムベス	5	0	14
2	4	0	2	バブルスライム	10	0	30
3	4	1	0	ホイミスライム	2	0	13
4	4	1	1	スライムファング	17	0	80
5	4	1	2	スライムつむり	10	0	200
6	4	2	0	スライムかるご	20	42	26
7	4	2	1	スライムナイト	50	60	50
8	4	2	2	メタルスライム	20	120	700
9	5	0	0	ベホマスライム	20	75	30
10	5	0	1	メタルライダー	70	66	90
11	5	0	2	スライムタワー	60	90	140
12	5	1	0	ぶちスライム	30	180	100
13	5	1	1	ぶちスライムベス	40	200	170
14	5	1	2	キングスライム	100	300	300
15	5	2	0	ボックススライム	40	150	120
16	5	2	1	マリンスライム	60	200	200
17	5	2	2	はぐれメタル	30	600	1500
18	6	0	0	ダークスライム	90	200	240
19	6	0	1	スライムベホマズン	50	900	270
20	6	0	2	スライムマデュラ	150	600	550
21	6	1	0	スライムジェネラル	250	300	400
22	6	1	1	スライムエンペラー	300	500	500
23	6	1	2	グランスライム	300	800	700
24	6	2	0	ダークキング	100	250	400
25	6	2	1	ゴッドライダー	130	400	600
26	6	2	2	メタルカイザー	100	1500	4000
27	7	0	0	竜王	400	1000	100
